"","Time","Day_of_week","X466910","X466920","X466930","C0A980","C0A9A0","C0A9B0","C0A9C0","C0A9E0","C0A9F0","C0AC40","C0AC70","C0AC80","C0AH40","C0AH70","C1A730","C1AC50"
"2997","2015/5/5 20:00","Tue","0.4","0","0","0.5","0.5","0","0","0","0","0","0","0",NA,NA,"0","0.5"
"2998","2015/5/5 21:00","Tue","0.1","0","0.2","0.5","0","1","1","0","0.5","0","0","0",NA,NA,"0","0"
"2999","2015/5/5 22:00","Tue","0.1","0","0.6","0","0","0","0","0","0","0","0","0",NA,NA,"0","1.5"
"3000","2015/5/5 23:00","Tue","0","0","0.2","0","0","0","0","0","0","0.5","0","0",NA,NA,"0","0"
"3001","2015/5/6 00:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3002","2015/5/6 01:00","Wed","0.1","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3003","2015/5/6 02:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3004","2015/5/6 03:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3005","2015/5/6 04:00","Wed","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,NA,"0","0"
"3006","2015/5/6 05:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3007","2015/5/6 06:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3008","2015/5/6 07:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3009","2015/5/6 08:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3010","2015/5/6 09:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3011","2015/5/6 10:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3012","2015/5/6 11:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3013","2015/5/6 12:00","Wed","0","0","0","0","0","0",NA,"0","0","0","0","0",NA,NA,"0","0"
"3014","2015/5/6 13:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3015","2015/5/6 14:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3016","2015/5/6 15:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3017","2015/5/6 16:00","Wed","0","0","0","0","0","0","0","0","0","0.5","0","0",NA,NA,"0","0"
"3018","2015/5/6 17:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3019","2015/5/6 18:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3020","2015/5/6 19:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3021","2015/5/6 20:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3022","2015/5/6 21:00","Wed","0","0","0","0","0","0","0","0","0","0.5","0","0",NA,NA,"0","0"
"3023","2015/5/6 22:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3024","2015/5/6 23:00","Wed","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3025","2015/5/7 00:00","Thu","0","0","0","0","0","0","0","0","0","0.5","0","0",NA,NA,"0","0"
"3026","2015/5/7 01:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3027","2015/5/7 02:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3028","2015/5/7 03:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3029","2015/5/7 04:00","Thu","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,NA,"0","0"
"3030","2015/5/7 05:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3031","2015/5/7 06:00","Thu","0.5","0","0","0","0","0","0","0","0","1","0","0",NA,NA,"0","0"
"3032","2015/5/7 07:00","Thu","1","0","0.5","0.5","0","0.5","0.5","0","0","0","0","0",NA,NA,"0","0.5"
"3033","2015/5/7 08:00","Thu","0","0","0","0","0","0","0","0","0","0.5","0","0",NA,NA,"0","0"
"3034","2015/5/7 09:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3035","2015/5/7 10:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3036","2015/5/7 11:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3037","2015/5/7 12:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3038","2015/5/7 13:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3039","2015/5/7 14:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3040","2015/5/7 15:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3041","2015/5/7 16:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3042","2015/5/7 17:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3043","2015/5/7 18:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3044","2015/5/7 19:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3045","2015/5/7 20:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3046","2015/5/7 21:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3047","2015/5/7 22:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3048","2015/5/7 23:00","Thu","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3049","2015/5/8 00:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3050","2015/5/8 01:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3051","2015/5/8 02:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3052","2015/5/8 03:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3053","2015/5/8 04:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3054","2015/5/8 05:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
